1,බොනව,のみます
2,යනව,いきます
3,රැකියාව,しごと
4,පන්සල,おてら
5,විකුනනවා,うります
6,අමුද්‍රව්‍ය,ざいりょう
7,එළවලු,やさい
8,බිත්තර,たまご
9,කෑම,りょうり
10,ටිකක්,すこし
11,පැණිරස,あまい
12,බාවිතකරනවා,りようします
13,විදෙස්රට,がいこく
14,තොරතුරු,じょうほう
15,සාකච්චාකරනවා,そうだん
16,ප්‍රශ්නය,しつもん
17,ප්‍රවේශපත්‍රකෞළුව,まどぐち
18,තැපැල්කාර්යාලය,ううびんきよく
19,අසල්වාසී,きんじょ
20,ස්වයංක්‍රීය,じどう
21,සෝදනවා,あらいます
22,ශිෂ්‍යයා,がくせい
23,පාසැල,がっこう
24,ජීවිතය,せいかつ
25,ගිය_අවුරුද්ද,きょねん
26,ගියසතිය,せんしゅう
27,සෞඛ්‍ය_සම්පන්න,げんき
28,කාර්යබහුල,いそがしい
29,වැඩකරනවා,はたらきます
30,බල්ලා,いめ
31,පවුල,かぞく
32,සවස්වරුව,ゆがた
33,ඉංග්‍රීසි,えいご
34,සංගීතය,おんがく
35,ඉගෙනගන්නවා,ならいます
36,කතාකරනවා,はなします
37,සංචාරයකිරීම,でかけます
38,සමාන,おなじ
39,රස්නෙයි,あつい
40,සීතලයි,さむい
41,පොහොසත්,ゆたかな
42,වැව,みずうみ
43,ණයටගන්නවා,かります
44,වෙනත්,ほか
45,නොඉවසිල්ලෙන්බලාසිටිනවා,たのしみ
46,senior,せんぱい
47,නවතින_ස්තාන,とまるところ
48,තානායම,りょうかん
49,guest_house,みんしゅく
50,ගණකම්_ග්ලවුස්,てぶくろ
51,පිහිනන_ඇදුම්,みずぎ
52,ගමන්කරන_ක්‍රම,こうつうしゅだん
53,දවසක_චාරිකාව,ひがえり
54,වැඩසටහන,ばんぐみ
55,මින්මැදුර,すいぞくかん
56,ගණකම්_කෝට්_එක,あついうわぎ
57,සැලැස්ම,けいかく
58,ගොඩනගනවා,たてます
59,බයානකයි,あぶない
60,හමුවෙනවා,あいます
61,හපාකනවා,かみます
62,කඩනවා,こわします
63,කැඩෙනවා,こわれます
64,අල්ලනවා,つかまえます
65,පිරිසිදුකරනවා,そうじします
66,අඩනවා,なきます
67,හාරනවා,ほります
68,අදිනවා,ひきます
69,වැටෙනවා,おちます
70,සටන්කරනවා,たたかいます
71,ලැබෙනවා,うけとります
72,ගහනවා,うちます
73,හංගනවා,かくします
74,හැංගෙනවා,かくれます
75,කතාකරනවා,おしゃべりします
76,ෆාමසිය,やっきょく
77,හරකා,うし
78,පිගාන,さら
79,විකුනනවා,うります,
80,හාල්,こめ
81,පොල,いちば
82,ජනප්‍රිය,にんき
83,තරගය,しあい
84,ලිවුම,てがみ
85,සංචාරකයා,かんこうきゃく
86,හවස,ゆうがた-
87,පොත්කඩය,しょてん
88,පින්තූරය,しゃしん
89,බයානකයි,あぶない
90,නානවා,あびます
91,දුවනවා,はしります
92,වාඩිවෙනවා,すわります
93,ඉවරවෙනවා,おわります
94,ආරාදනාකරනවා,さそいます
95,සිටගන්නවා,たちます
96,නටනවා,おどります
97,ගයනවා,うたいます
98,වෙනස්වෙනවා,かわります
99,රෝගය,びょうき
100,මැරෙනවා,しにます
101,මගපෙන්වනවා,あんないします
102,බෙහෙත්,くすり